text,url,handle,is_story
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",https://www.12newsnow.com/article/news/nation-world/appalachian-floods/507-5cc50ced-d238-465c-a73d-99e8986b3d1c,12newsnow,FALSE
Entertainment,/entertainment,12newsnow,FALSE
Here's how to get severe weather alerts via the 12NewsNow App,https://www.12newsnow.com/article/weather/heres-how-to-get-severe-weather-alerts-via-the-12newsnow-app/502-f655db61-d7a5-42d6-ad60-36b4464fb29f,12newsnow,TRUE
Man accused of kidnapping 15-year-old girl out of Liberty County arrested in Colorado,https://www.12newsnow.com/article/news/crime/man-accused-of-kidnapping-15-year-old-girl-from-liberty-county-arrested-in-colorado/502-8ce5c965-0fea-4751-b9ad-e7fd7a07d597,12newsnow,TRUE
Meet the Team,/meet-the-team,12newsnow,FALSE
Politics,/politics,12newsnow,FALSE
Privacy Policy,https://policies.google.com/privacy,12newsnow,FALSE
The Beat,/thebeat,12newsnow,FALSE
US rules out summer COVID boosters to focus on fall campaign,https://www.12newsnow.com/article/news/nation-world/us-covid-booster-shots-fall-2022-focus/507-9afd68ae-86f7-497a-8647-2f2b17041d1a,12newsnow,TRUE
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",https://www.13wmaz.com/article/news/local/el-nio-and-la-nia-impact-hurricane-season/93-d960a331-567c-406c-911d-72a524ee1a3f,13wmaznews,TRUE
Advertise,/advertise,13wmaznews,FALSE
Back,#,13wmaznews,FALSE
Contact Us,/contact-us,13wmaznews,FALSE
Did anyone win the Mega Millions prize on Friday?,https://www.13wmaz.com/article/news/nation-world/mega-millions-winning-numbers-july-29-jackpot/507-77798612-3285-47d2-bb8c-2a061c35c637,13wmaznews,TRUE
"Last summer, the bridge was demolished due to a truck crashing into it. Now, it's back open.",https://www.13wmaz.com/article/news/local/highway-86-bridge-over-i-16-open-to-traffic/93-ddf690bb-e433-4a75-a479-2607329f7d8e,13wmaznews,TRUE
Man found dead in car in north Macon,https://www.13wmaz.com/article/news/local/homeless-man-found-in-car-in-macon/93-361a7d59-a517-4d6c-9860-5f3cd54ed363,13wmaznews,TRUE
"Monroe deputies arrest Atlanta murder suspect, passenger during traffic stop on I-75",https://www.13wmaz.com/article/news/crime/monroe-deputies-arrest-atlanta-murder-suspect-passenger-during-traffic-stop-on-i-75-3/93-4e797cd7-4f54-4fc0-ad53-eafbaaa6d43d,13wmaznews,TRUE
Peach County Board of Education headquarters now at old high school,https://www.13wmaz.com/article/news/local/peach-county-board-of-education-headquarters-now-at-old-high-school-in-georgia-3/93-c978790e-92ec-469a-827a-eeb2cfaffd04,13wmaznews,TRUE
"Though some people claim two consecutive quarters of GDP decline constitutes a recession, that's not the official definition in the U.S.",https://www.13wmaz.com/article/news/verify/money-verify/what-is-a-recession-official-definition/536-47a3cc51-3385-4f43-8fbd-1456c01536df,13wmaznews,TRUE
2017-2018,http://fourteeneastmag.com/index.php/2017-2018/,14eastmag,FALSE
2018-2019,http://fourteeneastmag.com/index.php/2018-2019/,14eastmag,FALSE
consumer,http://fourteeneastmag.com/index.php/tag/consumer/,14eastmag,FALSE
CTU Strike,http://fourteeneastmag.com/index.php/tag/ctu-strike/,14eastmag,FALSE
Facebook,http://www.facebook.com/sharer.php?u=http://fourteeneastmag.com/index.php/2022/07/08/living-with-a-rare-skin-condition/,14eastmag,FALSE
film,http://fourteeneastmag.com/index.php/tag/film/,14eastmag,FALSE
mental health,http://fourteeneastmag.com/index.php/tag/mental-health/,14eastmag,FALSE
Next Page →,http://fourteeneastmag.com/index.php/page/2/,14eastmag,FALSE
Twitter,https://twitter.com/share?url=http://fourteeneastmag.com/index.php/2022/07/22/an-open-heart-for-endless-dreams/&text=An%20Open%20Heart%20for%20Endless%20Dreams,14eastmag,FALSE
weed issue,http://fourteeneastmag.com/index.php/tag/weed-issue/,14eastmag,FALSE
Attend an Event,/events,19thnews,FALSE
Business & Economy,https://19thnews.org/topics/business-economy/,19thnews,FALSE
Caregiving,https://19thnews.org/topics/caregiving/,19thnews,FALSE
Changing Child Care,https://19thnews.org/collections/changing-child-care/,19thnews,FALSE
Dozens of clinics have dropped abortion services since Roe v. Wade was overturned,https://19thnews.org/2022/07/abortion-clinics-closed-roe-v-wade-overturned/,19thnews,TRUE
"For family caregivers, COVID is a mental health crisis in the making",https://19thnews.org/2020/10/for-family-caregivers-covid-is-a-mental-health-crisis-in-the-making/,19thnews,TRUE
"Pregnant people are at 'greater risk' in states hit hard by wildfire smoke, air pollution, new report shows",https://19thnews.org/2022/04/pregnant-people-wildfire-smoke-air-pollution-report/,19thnews,TRUE
Sponsorship,https://19thnews.org/sponsorship/,19thnews,FALSE
Supreme Court Justice Samuel Alito argued abortion isn’t an economic issue. But is that true?,https://19thnews.org/2022/05/supreme-court-justice-samuel-alito-abortion-economy/,19thnews,TRUE
the terms,https://19thnews.org/terms-of-service/,19thnews,FALSE
"10:05 |                             SALAIRES

        Kevin Costner est l’une des stars de la télé les mieux payées aux US",https://www.20minutes.fr/arts-stars/serie/3331275-20220730-kevin-costner-stars-tele-mieux-payees-us-grace-role-serie-yellowstone,20minutes,TRUE
"29/07/22 |                             PREMIERE LECTURE

        Le Sénat adopte le projet de loi d'« urgence » en faveur du pouvoir d’achat",https://www.20minutes.fr/politique/3332003-20220729-senat-adopte-projet-loi-urgence-faveur-pouvoir-achat,20minutes,TRUE
"6


                                        1 999








            29/07/22 |                             CENSURE

        « Thor » interdit dans des pays arabes à cause d’un personnage homosexuel",https://www.20minutes.fr/arts-stars/cinema/3331787-20220729-thor-love-and-thunder-film-interdit-pays-arabes-cause-presence-personnages-homosexuels,20minutes,TRUE
"EN POLE POSITION (1/6)
    Roland Garros, le dernier héros de l'aviation française

            Lire le premier épisode de notre série",/sport/3328455-20220730-roland-garros-dernier-heros-aviation-francaise,20minutes,TRUE
"Flipboard
                        114K",https://flipboard.com/@20Minutes,20minutes,FALSE
Hauts de Seine,https://annonces-legales.20minutes.fr/hauts_de_seine,20minutes,FALSE
Horoscope,https://www.20minutes.fr/horoscope-quotidien/,20minutes,FALSE
Locales,https://www.20minutes.fr/locales/,20minutes,FALSE
"maladie
    Non, la France n’est pas frappée par une épidémie de syphilis

            Lire notre fact-checking",/sante/3331391-20220729-non-france-frappee-epidemie-syphilis,20minutes,TRUE
Panel des lecteurs,https://www.panel20minutes.fr/,20minutes,FALSE
Appeals arguments set on immigrants brought to US as kids,https://www.41nbc.com/appeals-arguments-set-on-immigrants-brought-to-us-as-kids/,41nbc,TRUE
Fiber internet on its way to middle Georgia through new partnership,https://www.41nbc.com/fiber-internet-on-its-way-to-middle-georgia-through-new-partnership/,41nbc,TRUE
Hooked on Science,https://www.41nbc.com/hooked-on-science/,41nbc,FALSE
Local News,https://www.41nbc.com/local-news/,41nbc,FALSE
Local Steals and Deals,https://localstealsanddeals.com/,41nbc,FALSE
Radar,/weather/radar,41nbc,FALSE
Reactions to overturning of Roe v. Wade continue,https://www.41nbc.com/reactions-to-overturning-of-roe-v-wade-continue/,41nbc,TRUE
RSS,/feed,41nbc,FALSE
Sports,#,41nbc,FALSE
Tech Byte,https://www.41nbc.com/tech-byte/,41nbc,FALSE
2 firefighters injured while battling blaze in New Castle County,https://6abc.com/house-fire-firefighters-injured-new-castle-county-pike-creek-blaze/12084164/,6abc,TRUE
AccuWeather: Nice Summer Weekend Ahead,https://6abc.com/pennsylvania-weather-philadelphia-jersey-shore-philly/49644/,6abc,TRUE
Art of Aging,https://6abc.com/tag/art-of-aging/,6abc,FALSE
Entertainment,https://6abc.com/entertainment/,6abc,FALSE
FIRE,/tag/fire/,6abc,FALSE
Here's what's happening down at the shore this weekend,https://6abc.com/jersey-shore-fun-events-this-weekend-stone-harbor/12080580/,6abc,TRUE
PHILADELPHIA 76ERS,/tag/philadelphia-76ers/,6abc,FALSE
SPONSORED: Options for breaking free from excruciating facial pain,https://6abc.com/trigeminal-neuralgia-facial-pain-blood-vessel-temple-health/12063720/,6abc,FALSE
StormTracker 6 - Regional view,https://6abc.com/weather/doppler/stormtracker-6---regional-view/,6abc,FALSE
Taste the best of Philly's international flavors | FYI Philly,https://6abc.com/international-flavors-where-to-eat-in-philadelphia-restaurants-fyi-philly/12051859/,6abc,TRUE
39 Comments,https://9to5mac.com/2022/07/29/iphone-sideloading-malware-android/#disqus_thread,9to5mac,TRUE
Apple Q3 2022 results show iPhone (just barely) creating a new record,https://9to5mac.com/2022/07/29/apple-q3-2022/,9to5mac,TRUE
Apps & Updates,https://9to5mac.com/guides/apps-updates/,9to5mac,FALSE
at $700,https://9to5toys.com/2022/07/29/apples-prev-gen-12-9-inch-ipad-pro-is-an-even-better-value-at-700-refurb-save-299/,9to5mac,TRUE
CardPointers,https://cardpointers.com/partner/925/,9to5mac,FALSE
iOS 16,https://9to5mac.com/guides/ios-16/,9to5mac,FALSE
latest drama series Surface,https://tinyurl.com/surfaceappletv,9to5mac,FALSE
the analysts were right,https://9to5mac.com/2022/07/27/aapl-earnings-q3-2022/,9to5mac,TRUE
Twitter,https://9to5mac.com/2022/07/29/ipad-stand-satechi/?share=twitter,9to5mac,TRUE
Twitter,https://9to5mac.com/2022/07/28/twitter-raises-blue-subscription-price/?share=twitter,9to5mac,TRUE
"Brandon Bell/Getty ImagesMega Millions jackpot drawn for historic $1.28 billion If won, it will be the second-largest jackpot in the lottery game's history.July 30, 2022",https://abcnews.go.com/US/mega-millions-jackpot-grows-11b-ahead-fridays-drawing/story?id=87612847,abc,TRUE
Entertainment,/Entertainment,abc,FALSE
Good Morning America,/GMA,abc,FALSE
Ice cream soars to order at YouTuber's unique new scoop shop,https://abcnews.go.com/GMA/Food/ice-cream-tossing-youtube-creator-brings-fun-levity/story?id=87486021,abc,TRUE
Interest-Based Ads,http://preferences.truste.com/2.0/?type=abcnews&affiliateId=11,abc,FALSE
"Mega Millions jackpot reaches $1.1B, 2nd-largest in game's history",https://abcnews.go.com/US/mega-millions-jackpot-reaches-810m-3rd-highest-games/story?id=87379408,abc,TRUE
Old Navy commits to not raise prices on denim amid rising inflation,https://abcnews.go.com/GMA/Style/navy-commits-raise-prices-denim-amid-rising-inflation/story?id=87570385,abc,TRUE
Walrus drinks from boat's bilge pump,https://abcnews.go.com/Lifestyle/video/walrus-drinks-boats-bilge-pump-87607762,abc,TRUE
WH to host attorneys to discuss abortion access,https://abcnews.go.com/Health/wireStory/white-house-host-attorneys-discuss-abortion-access-87617188,abc,TRUE
What looked like a full-term pregnancy turned out to be a 10-pound cyst,https://www.goodmorningamerica.com/wellness/story/woman-shares-health-warning-tiktok-doctors-find-10-87246519 ,abc,TRUE
Advertise with Us,https://www.abc15advertising.com/,abc15,FALSE
"Central Phoenix News



                  Phoenix PD announces interim chief coming from Baltimore PD





                    abc15.com staff",https://www.abc15.com/news/region-phoenix-metro/central-phoenix/phoenix-pd-announces-interim-chief-coming-from-baltimore-police-department,abc15,TRUE
Gas Prices,https://www.abc15.com/traffic/gas-prices,abc15,FALSE
"Local News


    Mr. ORNG shares new challenge with his father's recovery





                Ashley Paredez




    10:40 PM, Jul 28, 2022",https://www.abc15.com/news/local-news/mr-orng-shares-new-challenge-with-his-fathers-recovery,abc15,TRUE
"National News


    House poised to pass ban on assault-style rifles






                Justin Boggs




    11:31 AM, Jul 29, 2022",https://www.abc15.com/news/national/house-poised-to-pass-ban-on-assault-style-rifles,abc15,TRUE
"National News


    Spain: Prosecutors to seek 8-year prison term for Shakira





                The Associated Press




    8:38 AM, Jul 29, 2022",https://www.abc15.com/news/national/spain-prosecutors-to-seek-8-year-prison-term-for-shakira,abc15,TRUE
Newsletters,/account/manage-email-preferences,abc15,FALSE
Radar,https://www.abc15.com/weather/radar,abc15,FALSE
"Things To Do


    ‘Caffe Vita’ opens first Arizona location in former ‘Easley's Fun Shop’





                Nicole Gutierrez




    5:01 PM, Jul 29, 2022",https://www.abc15.com/entertainment/events/caffe-vita-opens-first-arizona-location-more-storefronts-to-come,abc15,TRUE
Weather,https://www.abc15.com/weather,abc15,FALSE
ABC7 SOLUTIONS,/tag/abc7-solutions/,abc7,FALSE
Bridge to be constructed in honor of boy who drowned in Pacoima Wash,https://abc7.com/pacoima-wash-bridge-pedestrian-elias-rodriguez/12082927/,abc7,TRUE
Do Not Sell My Personal Information,https://privacy.thewaltdisneycompany.com/en/dnsmi/,abc7,FALSE
Equity Report,https://ouramericaabc.com/equity-report/los-angeles,abc7,FALSE
Live Video,https://abc7.com/live/,abc7,FALSE
Localish,https://abc7.com/localish/,abc7,FALSE
U.S. & World,https://abc7.com/us-world/,abc7,FALSE
Unprecedented profit for major oil drillers as gas prices soared,https://abc7.com/oil-companies-profits-exxon-gas/12082213/,abc7,TRUE
WATCH VIDEOS,https://abc7.com/watch/,abc7,FALSE
"Will Smith addresses slap, apologizes to Chris Rock in new video",https://abc7.com/will-smith-apology-chris-rock-slap-oscars-2022/12082207/,abc7,TRUE
B.J. Novak shot directorial debut ‘Vengeance’ in NM,https://www.abqjournal.com/2519718/novak-shot-directorial-debut-vengeance-in-nm.html,abqjournal,TRUE
Briefcase: Retirement community management firm names director,https://www.abqjournal.com/2520640/briefcase-retirement-community-management-firm-names-director.html,abqjournal,TRUE
Editorial: Creative solution keeps high-profile trial on track,https://www.abqjournal.com/2520117/creative-solution-keeps-highprofile-trial-on-track.html,abqjournal,TRUE
Food,https://www.abqjournal.com/category/food,abqjournal,FALSE
Notifications,https://www.abqjournal.com/notifications,abqjournal,FALSE
Pro,https://www.abqjournal.com/category/sports/pro,abqjournal,FALSE
Recover Password,https://www.abqjournal.com/forgot-password,abqjournal,FALSE
Sign up now!,https://www.abqjournal.com/subscription-offers,abqjournal,FALSE
Sub Terms of Service,https://www.abqjournal.com/terms-of-services,abqjournal,FALSE
"Upstart Crows of Santa Fe immerses youth in the ...

            Arts


                The troupe is set to perform ...

                The troupe is set to perform 'A Midsummer Night's Dream' Aug. 5-7 and continues Aug. 12-14",https://www.abqjournal.com/2520401/upstart-crows-of-santa-fe-immerses-youth-in-the-famed-playwrights-work.html,abqjournal,TRUE
"Akersgata 55, 0180 Oslo",http://goo.gl/maps/XgFjg,aftenposten,FALSE
Infeed,/api/infeed,aftenposten,FALSE
China’s BYD was written off by Elon Musk. Now it’s beating Tesla,/economy/2022/7/28/chinas-byd-was-dismissed-by-elon-musk-now-its-beating-tesla,ajenglish,TRUE
Cookie PreferencesCookie Preferences,#cookiesPreferences,ajenglish,FALSE
play Live,/live,ajenglish,FALSE
Privacy Policy,https://privacy.aljazeera.net/,ajenglish,FALSE
rss,/xml/rss/all.xml,ajenglish,FALSE
Skip to Featured Content,#featured-news-container,ajenglish,FALSE
"Spain, Brazil report first monkeypox deaths outside Africa",/news/2022/7/30/spain-brazil-report-first-monkeypox-deaths-outside-africa,ajenglish,TRUE
Submit a Tip,https://webapps.aljazeera.net/aje/tips/,ajenglish,FALSE
US & Canada,/us-canada/,ajenglish,FALSE
Video,/videos/,ajenglish,FALSE
»  More classified ads,/classifieds/,albany_herald,FALSE
»  More State News,/news/state/,albany_herald,FALSE
Engagements,/announcements/engagements,albany_herald,FALSE
"GET OUT THERE: 5 things to do in southwest Georgia this weekend, July 29-31",/multimedia/slideshows/get-out-there-5-things-to-do-in-southwest-georgia-this-weekend-july-29-31/collection_b74a293c-0eb4-11ed-8239-231c727f6fbb.html,albany_herald,FALSE
Log In,https://www.albanyherald.com/users/login/?referer_url=https%3A%2F%2Fwww.albanyherald.com%2F,albany_herald,FALSE
PHOTOS: Sherwood Middle School basketball team hosts watermelon giveaway,/multimedia/slideshows/photos-sherwood-middle-school-basketball-team-hosts-watermelon-giveaway/collection_0f0503d0-0a88-11ed-8240-7f1535f7d0af.html,albany_herald,TRUE
Sign Guest Book,https://www.legacy.com/guestbooks/albanyherald/colleen-hughes-craver-chappell-condolences/202476786?utm_source=albanyherald&utm_medium=RecentObituaries&utm_term=SignGuestBook&utm_campaign=Widget,albany_herald,FALSE
UK court rules in favor of Venezuelan opposition leader Juan Guaidó in battle for country's gold,/news/uk-court-rules-in-favor-of-venezuelan-opposition-leader-juan-guaid-in-battle-for-countrys/article_cb29f5d6-b017-5e8b-8a28-a77d9e196361.html,albany_herald,TRUE
Video,/multimedia/video/,albany_herald,FALSE
Weddings,/announcements/weddings,albany_herald,FALSE
Charla informativa virtual sobre viruela del mono entre minorías en Dallas,/espanol/al-dia/dallas-fort-worth/2022/07/28/charla-informativa-virtual-sobre-viruela-del-mono-entre-minorias-en-dallas/,aldiadallas,TRUE
Classifieds,https://www.dallasnews.com/classifieds/,aldiadallas,FALSE
Customer Support,https://www.dallasnews.com/help/contact-us/,aldiadallas,FALSE
Dak Prescott quiere evitar el sentimiento de frustración causado por derrotas dolorosas,/espanol/al-dia/nfl-dallas-cowboys/2022/07/29/dak-prescott-derrota-cowboys-dallas-quarterback/,aldiadallas,TRUE
Futbol,/espanol/al-dia/futbol/,aldiadallas,FALSE
"Más de 100,000 hispanos en Dallas no han completado su vacunación contra covid-19",/espanol/al-dia/2022/07/28/hispanos-vacunados-dallas-covid/,aldiadallas,TRUE
Michael Gallup se ve bien en el campo de prácticas de Cowboys tras operación de rodilla,/espanol/al-dia/nfl-dallas-cowboys/2022/07/28/michael-gallup-receptor-cowboys-lesion-dallas/,aldiadallas,TRUE
Photo reprints,https://store.dallasnews.com/pages/photo-request-form,aldiadallas,FALSE
"Ricky Martin, Becky G, Farruko y Jhayco en Uforia Latino Mix de Dallas 2022",/espanol/al-dia/dallas-fort-worth/2022/07/28/ricky-martin-carin-leon-becky-g-farruko-y-jhayco-en-uforia-latino-mix-de-dallas-2022/,aldiadallas,TRUE
Vacation hold/billing,https://myaccount.dallasnews.com,aldiadallas,FALSE
AlterNet All-Access,https://www.alternet.org/alternet-2020/,alternet,FALSE
documentaries,/documentaries,alternet,FALSE
economy,/economy,alternet,FALSE
Food,/food,alternet,FALSE
MSN,https://www.alternet.org/msn/,alternet,FALSE
Personal Health,https://www.alternet.org/personal-health/,alternet,FALSE
Press Information,/2020/09/press-information-2647452975/,alternet,FALSE
Rodrigo Guillot,https://www.alternet.org/author/rodrigo_guillot,alternet,FALSE
Watch: Video captures Ted Cruz fist-bumping Republicans after blocking bill to help vets suffering from toxic burn pits,https://www.alternet.org/2022/07/watch-video-captures-ted-cruz-fist-bumping-republicans-after-blocking-bill-to-help-vets-suffering-from-toxic-burn-pits/,alternet,TRUE
Water,/water,alternet,FALSE
Amazon's best power-lift recliner is Signature Design by Ashley YandelREVIEWEDView Deal Recommendations are independently chosen by our editors. Purchases you make through our links may earn us a commission.,https://www.usatoday.com/story/money/reviewed/2022/07/28/amazons-best-power-lift-recliner-signature-design-ashley-yandel/10161797002/?utm_source=taboola&utm_medium=exchange&tblci=GiAQMZtjEmmMWkp_6buaXL4HorSaND1JYgBdohfb74WzrCDqyz0onOnhzP7M2shx#tblciGiAQMZtjEmmMWkp_6buaXL4HorSaND1JYgBdohfb74WzrCDqyz0onOnhzP7M2shx,amestribnews,TRUE
Ames' struggle to build community aquatic center hits rough water,/story/news/2022/07/28/ames-council-aquatic-contamination-dot-dnr-pool-oneil-considers-development-park-site/10143030002/,amestribnews,TRUE
E-Edition,http://user.amestrib.com/user/enewspaper,amestribnews,FALSE
Legals,http://iapublicnotices.newzgroup.com/,amestribnews,FALSE
My Account,https://account.amestrib.com/,amestribnews,FALSE
News,/news/,amestribnews,FALSE
Opinion: Local journalism is at risk; bill in Congress could help Carol Hunter,/story/opinion/2022/07/17/opinion-local-journalism-competition-preservation-act-congress-could-help/10056526002/,amestribnews,TRUE
Reach Local,http://www.reachlocal.com/us/en,amestribnews,FALSE
"Riders say RAGBRAI 2022 has been fun despite long lines, crowded roads",/story/life/living-well/ragbrai/2022/07/29/ragbrai-riders-talk-ups-downs-route-ride-2022/10180427002/,amestribnews,TRUE
What you need to know to enjoy Indianola's National Balloon Classic,/story/life/2022/07/28/indianola-national-balloon-classic-hot-air-balloon-live-music-national-balloon-museum/10143623002/,amestribnews,TRUE
'Amber Brown' springs to TV under Bonnie Hunt's sure hand,/article/entertainment-bonnie-hunt-58fb206a02ee256512b63372e8aed4ef,ap,TRUE
Alex Jones' media company files for bankruptcy amid trial,/article/shootings-austin-texas-63f4ecbf7adbb60c2f5dfe0726b6cb5e,ap,TRUE
Climate and environment,/hub/climate-and-environment,ap,FALSE
Fashion,/hub/fashion?utm_source=apnewsnav&utm_medium=sections,ap,FALSE
Governor: Search for Kentucky flood victims could take weeks,/article/floods-storms-science-kentucky-jackson-519185ea0be464c61ce76477359b019f,ap,TRUE
Iraqi protesters breach parliament building in BaghdadBy QASSIM ABDUL-ZAHRA11 minutes ago,/article/middle-east-religion-iran-iraq-0a7cb71ade4896ea393bedee0f7b86d7,ap,TRUE
Louisiana's abortion ban positioned to be enforced again,/article/abortion-health-louisiana-lawsuits-government-and-politics-2aee46370d4a236c91a63515e0e0cca2,ap,TRUE
Midterm elections,/hub/2022-midterm-elections?utm_source=apnewsnav&utm_medium=sections,ap,FALSE
Photography,/hub/photography?utm_source=apnewsnav&utm_medium=navigation,ap,FALSE
Tourism finally surpasses 2019 levels in Mexico,/article/covid-travel-health-caribbean-d93eeaaaca525ada471479f2dbb6d19f,ap,TRUE
