text,url,is_story,prediction,is_accurate
सबै,https://www.nayapatrikadaily.com/news-article/7/MultiMedia,True,False,False
टर्निङ प्वाइन्ट्स-२०२०,https://www.nayapatrikadaily.com/news-article/28/TurningPoints,True,False,False
"Alia Crum says that our perceptions are always filtered through our mindsets — and these mindsets shape our lives in profound ways. In the second of two episodes, the psychologist explains how our beliefs about food and exercise affect our bodies.",/radio,False,True,False
Deutschland,/nachrichten/deutschland/deutschland-nachrichtenfeed-100.html,False,True,False
Best Colleges,https://www.indiatoday.in/bestcolleges/2022,False,True,False
"Sun, Jul 31 @2:00pmDiamond Dan: Neil Diamond TributeSoaring Wings Vineyard & Brewing",https://metro.newschannelnebraska.com/calendar/#!/details/DIAMOND-DAN-NEIL-DIAMOND-TRIBUTE/10579958/2022-07-31T14,False,True,False
"Tue, Aug 02 @7:30pmThe IguanasThe Waiting Room Lounge",https://metro.newschannelnebraska.com/calendar/#!/details/THE-IGUANAS/10514758/2022-08-02T19,False,True,False
Update My Sustaining Membership,https://donate.nprstations.org/kvpr/update-my-sustaining-membership,False,True,False
Consumer Reports: Best dehumidifiers,https://www.nbcnews.com/select/shopping/consumer-reports-dehumidifiers-ncna1289320,False,True,False
Contact,https://www.nbcnews.com/news/us-news/nbc-news-digital-editors-n893846,False,True,False
Toronto Real Estate Prices Might Be Lower Than You ThinkToronto Real Estate | Search Ads|,https://compare-intl-real-estate-prices-toronto.zone?ref=taboola-gannettcompany-reporternews&sub_id=gannettcompany-reporternews&sub_id2=350-realestatetoronto-taboola-all&tbid=1353010&tbclick=sysclick&compkey=Toronto+Real+Estate+Prices&rskey=Toronto+Real+Estate+Prices+Might+Be+Lower+Than+You+Think&tblci=GiD9o_6V7VrYXJIlgI8CtTLHmAZreecDqvT4ki87jxdVhCCillQo8LStrbX6hsWaAQ#tblciGiD9o_6V7VrYXJIlgI8CtTLHmAZreecDqvT4ki87jxdVhCCillQo8LStrbX6hsWaAQ,True,False,False
About Us,https://www.postcrescent.com/story/news/local/2021/10/03/post-crescent-contact-information-staff-directory/8308687002/,False,True,False
Use of force: a double standard,https://southsideweekly.com/use-of-force-a-double-standard/,True,False,False
Book Review: ‘The Third Coast’,https://southsideweekly.com/book-review-the-third-coast/,True,False,False
"Braves take down Angels, 8-2",https://www.wjbf.com/sports/braves-take-down-angels-8-2/,True,False,False
Saved articles, https://www.startribune.com/subscriber/saved-articles,False,True,False
img.full-width1{flex-shrink:0;object-fit:contain;min-height:50%;height:auto;width:100%},/bal-ac-dan-belson-staff.html#nt=pf-double chain~homepage~flex feature~curated~river-four~EMHZ5IVNIVG7JAUIO6CX5WQAAM~1~1~4~7~art yes,False,True,False
img.full-width1{flex-shrink:0;object-fit:contain;min-height:50%;height:auto;width:100%},/bal-ac-dan-belson-staff.html#nt=pf-triple chain~home-double-rec2~recommender~automated~politics-rec~FP6CDJS2ONHMFAI7D4S4YC6FF4~1~6~1~3~art yes,False,True,False
img.full-width1{flex-shrink:0;object-fit:contain;min-height:50%;height:auto;width:100%},/ac-cn-winegrad-bio-staff.html#nt=pf-double chain~homepage-duplicate~flex feature~curated~box-9~URBBGCGFM5GMPBDMCTJLYCJTQE~1~1~8~12~art yes,False,True,False
Credit cards,https://www.ft.com/stream/f769d21e-0045-465a-9e7c-418b2de754b0,False,True,False
Main Events 07/29/2022,/entertainment/main-events-07-29-2022/article_383fa845-afb6-5bab-a23a-44efeaf8d330.html,False,True,False
Carmen Lomana,https://www.larazon.es/gente/famosos/20220730/obrfiob6incxbe4dtwo7lqn6uu.html,False,True,False
Sign up for our email,/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed,False,True,False
"switch to the
            International edition",https://www.theguardian.com/preference/edition/int,False,True,False
Explore nearly two decades of Cook County court data,https://charges.thecircuit.cc/en/,False,True,False
Access Toolbox →,https://go.nationaljournal.com/PAC-Manager-Toolbox-2022,False,True,False
Read More ...,https://www.okayplayer.com/music/flying-lotus-yasuke-netflix-interview.html,True,False,False
Los Angeles Times for Students and Educators,https://www.latimes.com/about/marketing/los-angeles-times-for-students-and-educators,False,True,False
The Best Beach Umbrellas for All Day Outdoor Fun,https://www.latimes.com/bestcovery/beach-umbrella,False,True,False
Enjoy Your Time Outdoors With the Best Cooler Backpack,https://www.latimes.com/bestcovery/cooler-backpack,False,True,False
Enjoy Your Time Outdoors With the Best Cooler Backpack,https://www.latimes.com/bestcovery/cooler-backpack,False,True,False
Clarity,https://www.latimes.com/projects/clarity,True,False,False
9 little-known ways to see the Hollywood sign,https://www.latimes.com/travel/list/hollywood-sign-viewing-hikes,False,True,False
Alpha Athletics Alpha One Golf Glove Review,https://www.latimes.com/bestcovery/alpha-athletics-alpha-one-golf-glove-review,False,True,False
Manual vs. Electric Knife Sharpeners: Which Should You Choose?,https://www.latimes.com/bestcovery/manual-vs-electric-knife-sharpeners-which-should-you-choose,False,True,False
Contact Us,https://help.nytimes.com/hc/en-us/articles/115015385887-Contact-Us,False,True,False
Letter BoxedCreate words using letters around the square.,https://www.nytimes.com/puzzles/letter-boxed,False,True,False
Spelling BeeHow many words can you make with 7 letters?,https://www.nytimes.com/puzzles/spelling-bee,False,True,False
© 2022 The New York Times Company,https://help.nytimes.com/hc/en-us/articles/115014792127-Copyright-notice,False,True,False
VertexConnect the dots to reveal the hidden picture.,https://www.nytimes.com/puzzles/vertex,False,True,False
"New York Times GamesSubscribe for full access to Spelling Bee, Wordle, The Crossword and more.",https://www.nytimes.com/subscription/games,False,True,False
Eiko OjalaDo You Have a Question for Our Health Editors?,https://www.nytimes.com/interactive/2021/well/ask-well.html,False,True,False
US Elections,/election/2022,False,True,False
Content by FinanceBuzz7 ways to avoid financial stress and earn cash,https://financebuzz.com/financial-stress-lz2k?utm_source=cnn&utm_medium=paid-native-rs&utm_term=ros&utm_campaign=financial-stress&utm_content=text-only&adgroupid=cnn-nb-financialstress,False,True,False
Why McConnell can't give up supporting Trump,https://plus.cnn.com/plus/title-2366485,True,False,False
CNN+ Mark Meadows' texts revealed,https://plus.cnn.com/plus/title-2366485,True,False,False
cnn+ Declassified: Untold Stories of American Spies,https://plus.cnn.com/plus/title-2081265,True,False,False
