text,path,is_story
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",/article/news/nation-world/appalachian-floods/507-5cc50ced-d238-465c-a73d-99e8986b3d1c,1
US rules out summer COVID boosters to focus on fall campaign,/article/news/nation-world/us-covid-booster-shots-fall-2022-focus/507-9afd68ae-86f7-497a-8647-2f2b17041d1a,1
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",/article/traffic/two-port-arthur-police-officers-injured-after-friday-night-crash/502-702b172b-acd9-45b2-96df-694e97b4c744,1
Here's how to get severe weather alerts via the 12NewsNow App,/article/weather/heres-how-to-get-severe-weather-alerts-via-the-12newsnow-app/502-f655db61-d7a5-42d6-ad60-36b4464fb29f,1
Advertise,/advertise,0
Contact Us,/contact-us,0
Back,,0
"Monroe deputies arrest Atlanta murder suspect, passenger during traffic stop on I-75",/article/news/crime/monroe-deputies-arrest-atlanta-murder-suspect-passenger-during-traffic-stop-on-i-75-3/93-4e797cd7-4f54-4fc0-ad53-eafbaaa6d43d,1
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",/article/news/local/el-nio-and-la-nia-impact-hurricane-season/93-d960a331-567c-406c-911d-72a524ee1a3f,1
"Last summer, the bridge was demolished due to a truck crashing into it. Now, it's back open.",/article/news/local/highway-86-bridge-over-i-16-open-to-traffic/93-ddf690bb-e433-4a75-a479-2607329f7d8e,1
Man found dead in car in north Macon,/article/news/local/homeless-man-found-in-car-in-macon/93-361a7d59-a517-4d6c-9860-5f3cd54ed363,1
Peach County Board of Education headquarters now at old high school,/article/news/local/peach-county-board-of-education-headquarters-now-at-old-high-school-in-georgia-3/93-c978790e-92ec-469a-827a-eeb2cfaffd04,1
Did anyone win the Mega Millions prize on Friday?,/article/news/nation-world/mega-millions-winning-numbers-july-29-jackpot/507-77798612-3285-47d2-bb8c-2a061c35c637,1
"Though some people claim two consecutive quarters of GDP decline constitutes a recession, that's not the official definition in the U.S.",/article/news/verify/money-verify/what-is-a-recession-official-definition/536-47a3cc51-3385-4f43-8fbd-1456c01536df,1
2017-2018,/index.php/2017-2018/,0
2018-2019,/index.php/2018-2019/,0
Next Page →,/index.php/page/2/,0
consumer,/index.php/tag/consumer/,0
CTU Strike,/index.php/tag/ctu-strike/,0
film,/index.php/tag/film/,0
mental health,/index.php/tag/mental-health/,0
weed issue,/index.php/tag/weed-issue/,0
Attend an Event,/events,0
"For family caregivers, COVID is a mental health crisis in the making",/2020/10/for-family-caregivers-covid-is-a-mental-health-crisis-in-the-making/,1
"Pregnant people are at 'greater risk' in states hit hard by wildfire smoke, air pollution, new report shows",/2022/04/pregnant-people-wildfire-smoke-air-pollution-report/,1
Supreme Court Justice Samuel Alito argued abortion isn’t an economic issue. But is that true?,/2022/05/supreme-court-justice-samuel-alito-abortion-economy/,1
Dozens of clinics have dropped abortion services since Roe v. Wade was overturned,/2022/07/abortion-clinics-closed-roe-v-wade-overturned/,1
Changing Child Care,/collections/changing-child-care/,0
Sponsorship,/sponsorship/,0
the terms,/terms-of-service/,0
Business & Economy,/topics/business-economy/,0
Caregiving,/topics/caregiving/,0
"maladie
    Non, la France n’est pas frappée par une épidémie de syphilis

            Lire notre fact-checking",/sante/3331391-20220729-non-france-frappee-epidemie-syphilis,1
"EN POLE POSITION (1/6)
    Roland Garros, le dernier héros de l'aviation française

            Lire le premier épisode de notre série",/sport/3328455-20220730-roland-garros-dernier-heros-aviation-francaise,1
Hauts de Seine,/hauts_de_seine,0
"Flipboard
                        114K",/@20Minutes,0
"6


                                        1 999








            29/07/22 |                             CENSURE

        « Thor » interdit dans des pays arabes à cause d’un personnage homosexuel",/arts-stars/cinema/3331787-20220729-thor-love-and-thunder-film-interdit-pays-arabes-cause-presence-personnages-homosexuels,1
"10:05 |                             SALAIRES

        Kevin Costner est l’une des stars de la télé les mieux payées aux US",/arts-stars/serie/3331275-20220730-kevin-costner-stars-tele-mieux-payees-us-grace-role-serie-yellowstone,1
Horoscope,/horoscope-quotidien/,0
Locales,/locales/,0
"29/07/22 |                             PREMIERE LECTURE

        Le Sénat adopte le projet de loi d'« urgence » en faveur du pouvoir d’achat",/politique/3332003-20220729-senat-adopte-projet-loi-urgence-faveur-pouvoir-achat,1
Panel des lecteurs,/,0
RSS,/feed,0
Radar,/weather/radar,0
Sports,,0
Local Steals and Deals,/,0
Appeals arguments set on immigrants brought to US as kids,/appeals-arguments-set-on-immigrants-brought-to-us-as-kids/,1
Fiber internet on its way to middle Georgia through new partnership,/fiber-internet-on-its-way-to-middle-georgia-through-new-partnership/,1
Hooked on Science,/hooked-on-science/,0
Local News,/local-news/,0
Reactions to overturning of Roe v. Wade continue,/reactions-to-overturning-of-roe-v-wade-continue/,1
Tech Byte,/tech-byte/,0
FIRE,/tag/fire/,0
PHILADELPHIA 76ERS,/tag/philadelphia-76ers/,0
Entertainment,/entertainment/,0
2 firefighters injured while battling blaze in New Castle County,/house-fire-firefighters-injured-new-castle-county-pike-creek-blaze/12084164/,1
Taste the best of Philly's international flavors | FYI Philly,/international-flavors-where-to-eat-in-philadelphia-restaurants-fyi-philly/12051859/,1
Here's what's happening down at the shore this weekend,/jersey-shore-fun-events-this-weekend-stone-harbor/12080580/,1
AccuWeather: Nice Summer Weekend Ahead,/pennsylvania-weather-philadelphia-jersey-shore-philly/49644/,1
Art of Aging,/tag/art-of-aging/,0
SPONSORED: Options for breaking free from excruciating facial pain,/trigeminal-neuralgia-facial-pain-blood-vessel-temple-health/12063720/,0
StormTracker 6 - Regional view,/weather/doppler/stormtracker-6---regional-view/,0
the analysts were right,/2022/07/27/aapl-earnings-q3-2022/,1
Twitter,/2022/07/28/twitter-raises-blue-subscription-price/,1
Apple Q3 2022 results show iPhone (just barely) creating a new record,/2022/07/29/apple-q3-2022/,1
Twitter,/2022/07/29/ipad-stand-satechi/,1
39 Comments,/2022/07/29/iphone-sideloading-malware-android/,1
Apps & Updates,/guides/apps-updates/,0
iOS 16,/guides/ios-16/,0
at $700,/2022/07/29/apples-prev-gen-12-9-inch-ipad-pro-is-an-even-better-value-at-700-refurb-save-299/,1
CardPointers,/partner/925/,0
latest drama series Surface,/surfaceappletv,0
Entertainment,/Entertainment,0
Good Morning America,/GMA,0
Interest-Based Ads,/2.0/,0
Ice cream soars to order at YouTuber's unique new scoop shop,/GMA/Food/ice-cream-tossing-youtube-creator-brings-fun-levity/story,1
Old Navy commits to not raise prices on denim amid rising inflation,/GMA/Style/navy-commits-raise-prices-denim-amid-rising-inflation/story,1
WH to host attorneys to discuss abortion access,/Health/wireStory/white-house-host-attorneys-discuss-abortion-access-87617188,1
Walrus drinks from boat's bilge pump,/Lifestyle/video/walrus-drinks-boats-bilge-pump-87607762,1
"Brandon Bell/Getty ImagesMega Millions jackpot drawn for historic $1.28 billion If won, it will be the second-largest jackpot in the lottery game's history.July 30, 2022",/US/mega-millions-jackpot-grows-11b-ahead-fridays-drawing/story,1
"Mega Millions jackpot reaches $1.1B, 2nd-largest in game's history",/US/mega-millions-jackpot-reaches-810m-3rd-highest-games/story,1
What looked like a full-term pregnancy turned out to be a 10-pound cyst,/wellness/story/woman-shares-health-warning-tiktok-doctors-find-10-87246519 ,1
Newsletters,/account/manage-email-preferences,0
"Things To Do


    ‘Caffe Vita’ opens first Arizona location in former ‘Easley's Fun Shop’





                Nicole Gutierrez




    5:01 PM, Jul 29, 2022",/entertainment/events/caffe-vita-opens-first-arizona-location-more-storefronts-to-come,1
"Local News


    Mr. ORNG shares new challenge with his father's recovery





                Ashley Paredez




    10:40 PM, Jul 28, 2022",/news/local-news/mr-orng-shares-new-challenge-with-his-fathers-recovery,1
"National News


    House poised to pass ban on assault-style rifles






                Justin Boggs




    11:31 AM, Jul 29, 2022",/news/national/house-poised-to-pass-ban-on-assault-style-rifles,1
"National News


    Spain: Prosecutors to seek 8-year prison term for Shakira





                The Associated Press




    8:38 AM, Jul 29, 2022",/news/national/spain-prosecutors-to-seek-8-year-prison-term-for-shakira,1
"Central Phoenix News



                  Phoenix PD announces interim chief coming from Baltimore PD





                    abc15.com staff",/news/region-phoenix-metro/central-phoenix/phoenix-pd-announces-interim-chief-coming-from-baltimore-police-department,1
Gas Prices,/traffic/gas-prices,0
Weather,/weather,0
Radar,/weather/radar,0
Advertise with Us,/,0
ABC7 SOLUTIONS,/tag/abc7-solutions/,0
Live Video,/live/,0
Localish,/localish/,0
Unprecedented profit for major oil drillers as gas prices soared,/oil-companies-profits-exxon-gas/12082213/,1
Bridge to be constructed in honor of boy who drowned in Pacoima Wash,/pacoima-wash-bridge-pedestrian-elias-rodriguez/12082927/,1
U.S. & World,/us-world/,0
WATCH VIDEOS,/watch/,0
"Will Smith addresses slap, apologizes to Chris Rock in new video",/will-smith-apology-chris-rock-slap-oscars-2022/12082207/,1
Equity Report,/equity-report/los-angeles,0
Do Not Sell My Personal Information,/en/dnsmi/,0
Meet the ABC7 News Team,/about/newsteam/,0
ABC7 Newsteam Bios,/about/newsteam/,0
Watch Now,/live/11065007,0
North Bay,/north-bay/,0
Technology & Business,/tech-business/,0
Privacy Policy.,/,0
B.J. Novak shot directorial debut ‘Vengeance’ in NM,/2519718/novak-shot-directorial-debut-vengeance-in-nm.html,1
Editorial: Creative solution keeps high-profile trial on track,/2520117/creative-solution-keeps-highprofile-trial-on-track.html,1
"Upstart Crows of Santa Fe immerses youth in the ...

            Arts


                The troupe is set to perform ...

                The troupe is set to perform 'A Midsummer Night's Dream' Aug. 5-7 and continues Aug. 12-14",/2520401/upstart-crows-of-santa-fe-immerses-youth-in-the-famed-playwrights-work.html,1
Briefcase: Retirement community management firm names director,/2520640/briefcase-retirement-community-management-firm-names-director.html,1
Food,/category/food,0
Pro,/category/sports/pro,0
Recover Password,/forgot-password,0
Notifications,/notifications,0
Sign up now!,/subscription-offers,0
Sub Terms of Service,/terms-of-services,0
Infeed,/api/infeed,0
"Akersgata 55, 0180 Oslo",/maps/XgFjg,0
China’s BYD was written off by Elon Musk. Now it’s beating Tesla,/economy/2022/7/28/chinas-byd-was-dismissed-by-elon-musk-now-its-beating-tesla,1
play Live,/live,0
"Spain, Brazil report first monkeypox deaths outside Africa",/news/2022/7/30/spain-brazil-report-first-monkeypox-deaths-outside-africa,1
US & Canada,/us-canada/,0
Video,/videos/,0
rss,/xml/rss/all.xml,0
Cookie PreferencesCookie Preferences,,0
Skip to Featured Content,,0
Privacy Policy,/,0
Submit a Tip,/aje/tips/,0
Engagements,/announcements/engagements,0
Weddings,/announcements/weddings,0
»  More classified ads,/classifieds/,0
"GET OUT THERE: 5 things to do in southwest Georgia this weekend, July 29-31",/multimedia/slideshows/get-out-there-5-things-to-do-in-southwest-georgia-this-weekend-july-29-31/collection_b74a293c-0eb4-11ed-8239-231c727f6fbb.html,1
PHOTOS: Sherwood Middle School basketball team hosts watermelon giveaway,/multimedia/slideshows/photos-sherwood-middle-school-basketball-team-hosts-watermelon-giveaway/collection_0f0503d0-0a88-11ed-8240-7f1535f7d0af.html,1
Video,/multimedia/video/,0
»  More State News,/news/state/,0
UK court rules in favor of Venezuelan opposition leader Juan Guaidó in battle for country's gold,/news/uk-court-rules-in-favor-of-venezuelan-opposition-leader-juan-guaid-in-battle-for-countrys/article_cb29f5d6-b017-5e8b-8a28-a77d9e196361.html,1
Log In,/users/login/,0
Sign Guest Book,/guestbooks/albanyherald/colleen-hughes-craver-chappell-condolences/202476786,0
"Más de 100,000 hispanos en Dallas no han completado su vacunación contra covid-19",/espanol/al-dia/2022/07/28/hispanos-vacunados-dallas-covid/,1
Charla informativa virtual sobre viruela del mono entre minorías en Dallas,/espanol/al-dia/dallas-fort-worth/2022/07/28/charla-informativa-virtual-sobre-viruela-del-mono-entre-minorias-en-dallas/,1
"Ricky Martin, Becky G, Farruko y Jhayco en Uforia Latino Mix de Dallas 2022",/espanol/al-dia/dallas-fort-worth/2022/07/28/ricky-martin-carin-leon-becky-g-farruko-y-jhayco-en-uforia-latino-mix-de-dallas-2022/,1
Futbol,/espanol/al-dia/futbol/,0
Michael Gallup se ve bien en el campo de prácticas de Cowboys tras operación de rodilla,/espanol/al-dia/nfl-dallas-cowboys/2022/07/28/michael-gallup-receptor-cowboys-lesion-dallas/,1
Dak Prescott quiere evitar el sentimiento de frustración causado por derrotas dolorosas,/espanol/al-dia/nfl-dallas-cowboys/2022/07/29/dak-prescott-derrota-cowboys-dallas-quarterback/,1
Vacation hold/billing,,0
Photo reprints,/pages/photo-request-form,0
Classifieds,/classifieds/,0
Customer Support,/help/contact-us/,0
Press Information,/2020/09/press-information-2647452975/,0
documentaries,/documentaries,0
economy,/economy,0
Food,/food,0
Water,/water,0
Watch: Video captures Ted Cruz fist-bumping Republicans after blocking bill to help vets suffering from toxic burn pits,/2022/07/watch-video-captures-ted-cruz-fist-bumping-republicans-after-blocking-bill-to-help-vets-suffering-from-toxic-burn-pits/,1
AlterNet All-Access,/alternet-2020/,0
Rodrigo Guillot,/author/rodrigo_guillot,0
MSN,/msn/,0
Personal Health,/personal-health/,0
News,/news/,0
What you need to know to enjoy Indianola's National Balloon Classic,/story/life/2022/07/28/indianola-national-balloon-classic-hot-air-balloon-live-music-national-balloon-museum/10143623002/,1
"Riders say RAGBRAI 2022 has been fun despite long lines, crowded roads",/story/life/living-well/ragbrai/2022/07/29/ragbrai-riders-talk-ups-downs-route-ride-2022/10180427002/,1
Ames' struggle to build community aquatic center hits rough water,/story/news/2022/07/28/ames-council-aquatic-contamination-dot-dnr-pool-oneil-considers-development-park-site/10143030002/,1
Opinion: Local journalism is at risk; bill in Congress could help Carol Hunter,/story/opinion/2022/07/17/opinion-local-journalism-competition-preservation-act-congress-could-help/10056526002/,1
Legals,/,0
E-Edition,/user/enewspaper,0
Reach Local,/us/en,0
Amazon's best power-lift recliner is Signature Design by Ashley YandelREVIEWEDView Deal Recommendations are independently chosen by our editors. Purchases you make through our links may earn us a commission.,/story/money/reviewed/2022/07/28/amazons-best-power-lift-recliner-signature-design-ashley-yandel/10161797002/,1
Louisiana's abortion ban positioned to be enforced again,/article/abortion-health-louisiana-lawsuits-government-and-politics-2aee46370d4a236c91a63515e0e0cca2,1
Tourism finally surpasses 2019 levels in Mexico,/article/covid-travel-health-caribbean-d93eeaaaca525ada471479f2dbb6d19f,1
'Amber Brown' springs to TV under Bonnie Hunt's sure hand,/article/entertainment-bonnie-hunt-58fb206a02ee256512b63372e8aed4ef,1
Governor: Search for Kentucky flood victims could take weeks,/article/floods-storms-science-kentucky-jackson-519185ea0be464c61ce76477359b019f,1
Iraqi protesters breach parliament building in BaghdadBy QASSIM ABDUL-ZAHRA11 minutes ago,/article/middle-east-religion-iran-iraq-0a7cb71ade4896ea393bedee0f7b86d7,1
Alex Jones' media company files for bankruptcy amid trial,/article/shootings-austin-texas-63f4ecbf7adbb60c2f5dfe0726b6cb5e,1
Midterm elections,/hub/2022-midterm-elections,0
Climate and environment,/hub/climate-and-environment,0
Fashion,/hub/fashion,0
Photography,/hub/photography,0
0,/pin/create/bookmarklet/,0
100 Days Hiring RFA Reporter to Cover Religion in Appalachia,/2022/01/100-days-hiring-rfa-reporter-to-cover-religion-in-appalachia/,1
"In Appalachia and the Southwest, Indigenous Organizers Want a new Economy for Their Coalfield Communities",/2022/01/in-appalachia-and-the-southwest-indigenous-organizers-want-a-new-economy-for-their-coalfield-communities/,1
"Opinion: There’s a Critical Need for Equity in Care, Education for Neurodivergent Kids in Appalachia",/2022/01/opinion-theres-a-critical-need-for-equity-in-care-education-for-neurodivergent-kids-in-appalachia/,1
A Taste of Home – How Pinto Beans And Cornbread Became an Appalachian Tradition,/2022/03/a-taste-of-home-how-pinto-beans-and-cornbread-became-an-appalachian-tradition/,1
After the Deluge: Remembering the Stories the Flood Could Not Wash Away,/2022/03/after-the-deluge-remembering-the-stories-the-flood-could-not-wash-away/,1
Why the Gun Safety Bill that Congress Might Pass Won’t Affect West Virginians,/2022/06/why-the-gun-safety-bill-that-congress-might-pass-wont-affect-west-virginians/,1
"byJonathan Stoltman, Ashton Marra & Kristen Uppercue",/author/jonathanashtonkristen/,0
byTaylor Sisk,/author/taylorsisk/,0
Recovery Stories,/category/recovery-stories/,0
ABOUT,/about/,0
LEARN MORE »,/about/,0
Few Joe Arpaio immigrant victims claim unlawful detention compensation,/news/2018/04/12/few-joe-arpaio-immigrant-victims-claim-unlawful-detention-compensation/,1
Arizona leads nation in Valley fever infections—a “disease of color”,/news/2021/09/28/arizona-leads-nation-valley-fever-expert-calls-disease-of-color/,1
"Patient deaths at Arizona State Hospital raise questions about staffing levels, lack of oversight",/news/2021/11/16/patient-deaths-at-arizona-state-hospital-raise-questions-about-staffing-levels-lack-of-oversight/,1
"Repeat safety violations, critical resource shortages put Arizona dialysis patients at heightened risk",/news/2022/03/08/safety-violations-arizona-dialysis-clinics-patient-risk/,1
Permanent funding solution elusive as mental health provider shortage plagues Arizona schools—and students,/news/2022/07/21/funding-solution-elusive-mental-health-provider-shortage-arizona-schools/,1
Joseph Postiglione,/news/author/josephpostiglione/,0
Megan Janetsky,/news/author/meganjanetsky/,0
Valeria Fernández,/news/author/valfernandez/,0
Popular,,0
Ethics complaint targets state Supreme Court Justice Rhonda Wood,/index.php/2022/01/13/ethics-complaint-rhonda-wood/,1
State regulators give OK to Medicaid managed care company once dogged by investigations,/index.php/2022/02/04/state-regulators-give-ok-to-medicaid-managed-care-company-once-dogged-by-investigations/,1
Eureka Springs cracks down on ‘Airbnbs’ as housing grows scarce,/index.php/2022/04/11/eureka-springs-cracks-down-on-airbnbs-as-housing-grows-scarce/,1
State Supreme Court Justice Wood cleared of ethics allegations,/index.php/2022/04/20/state-supreme-court-justice-wood-cleared-of-ethics-allegations/,1
Learn more,/index.php/about/,0
Learn more about ANNN,/index.php/about/,0
Environment,/index.php/category/environment,0
Infrastructure,/index.php/category/infrastructure/,0
Juvenile Justice,/index.php/category/juvenile-justice/,0
Jon Brodkin,/author/jon-brodkin/,0
Jonathan M. Gitlin,/author/jonathan-m-gitlin/,0
Samuel Axon,/author/samuelaxon/,0
Privacy Policy and Cookie Statement,/privacy-policy/,0
Mission Statement,/mission-statement/,0
Hospital,/news/health/,0
Subscribe to the newsletter (it's free!),,0
Parks & Recreation,/community/parks-recreation/,0
Read More >,/inner-peace-lets-travel-in-complete-safety-this-summer/,1
Reader Photo: Double rainbow over Grizzly Peak,/reader-photo-double-rainbow-over-grizzly-peak/,1
Read More >,/reader-photo-navigating-a-cloudy-surface/,1
Reader Photo: Navigating a cloudy surface,/reader-photo-navigating-a-cloudy-surface/,1
Reader photos: Lincoln and Jefferson in Ashland,/reader-photos-lincoln-and-jefferson-in-ashland/,1
"Weather forecast Ashland, Oregon ▸",/en/oregon-usa/ashland,0
About,/about/,0
Tracking the Curve,/aspen-area-virus-information-sources/,0
HISTORY,/category/aspen/,0
LOCAL DATA,/category/local-public-data/,0
COVID-19 Info,/category/virus-beta/,0
"Local groups want mitigation, public hearing on marble quarry water issue",/local-groups-want-mitigation-public-hearing-on-marble-quarry-water-issue/,1
"Marble quarry must build bridge, culvert and improve stream for Clean Water Act violation",/marble-quarry-must-build-bridge-culvert-and-improve-stream-for-clean-water-act-violation/,1
The Roundup | Now is the time to understand more so we may fear less,/newsletter/the-roundup-thomas-friedman-now-is-the-time-to-understand-more-so-we-may-fear-less/,1
Streamflows in southern half of upper Colorado River basin declining faster,/streamflows-in-southern-half-of-upper-colorado-river-basin-declining-faster/,1
Proudly powered by Newspack by Automattic,/,0
About US,/about/,0
Explore,/category/democracy/,0
Democracy News,/category/democracy/,0
Focus Areas,/focus-areas/,0
Suggest a Focus Area,/suggest-a-new-focus-area/,0
Visitors Guide,/austin-visitors-guide/,0
Book Reviews,/books/reviews/,0
COLUMNS,/columns/,0
"WE HAVE AN ISSUE
                by Kimberley Jones",/columns/2022-07-29/we-have-an-issue-some-stories/,1
Austin FC Adds Argentine Attacker Emiliano Rigoni in Designated...,/daily/sports/2022-07-29/austin-fc-adds-argentine-attacker-emiliano-rigoni-in-designated-player-splurge/,1
"Review: B.J. Novak Tells a Touching Tale of Truth, Myths, and Texas
        Review: B.J. Novak Tells a Touching Tale of Truth, Myths, and Texas",/events/film/2022-07-29/vengeance/,1
"What We’re Listening to Right Now Detox, Mobley, Dropped Out, Holy Wave, Party Van,...",/music/2022-07-29/what-were-listening-to-right-now/,1
Newsletters,/newsletters/,0
PRIVACY POLICY,/privacy-policy/,0
Austin Studio's VR Mini-Golf Game Gets New Course Based on Jim...,/screens/2022-07-29/austin-studios-vr-mini-golf-game-gets-new-course-based-on-jim-hensons-labyrinth/,1
Lessons of resilience from César Chávez march,/articles/community/cesarchavez,1
How Puerto Rican Cultural Center helped put island's cultura on Central Texas map,/articles/cultura/pr25,1
Where to celebrate Selena's birthday in Austin,/articles/cultura/selenabirthday2022,1
Más Community,/articles/events/mas-community,1
Más Community,/articles/events/mascommunitymay2022,1
Austin  Vida staff,/authors/austin-vida-staff,0
Community News,/categories/community,0
Events,/categories/events,0
Read past editions,/newsletters,0
Tiny News Collective,,0
Asheville Watchdog,/,0
About The Team,/about-the-staff/,0
Education,/category/education/,0
Equity Erased,/category/equity-erased/,0
called a right-wing radio show,/cawthorn-capitol-mob-paid-by-democrats/,1
Privacy Policy,/privacy-policy/,0
Continue readingWas It Just a Fireworks Prank? Or Was a Possible Tragedy Averted?,/was-it-just-a-fireworks-prank-or-was-a-possible-tragedy-averted/,1
The complaint,/wp-content/uploads/2022/06/Shroat-complaint.pdf,0
St. Louis Cardinals,/mlb/team/_/name/stl/st-louis-cardinals,0
Health,/health,0
Download the app,/app/,0
Felix Salmon,/authors/fsalmon,0
Affordable Care Act,/health/affordable-care-act,0
San Francisco,/local/san-francisco,0
NCAA,/sports/ncaa,0
World,/world/,0
